"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","0","21","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","0","2","1","0.000000","0","0"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","0","21","1","0.000000","0","0"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","0","6","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","0","42","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","21","84","1","1","147.671661","0","3632"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","21","63","1","1","110.475418","0","1981"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","21","84","1","1","156.117004","0","2900"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","21","63","1","1","115.784264","0","830"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","21","12","1","1","10.554581","0","68"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","21","63","1","1","126.625107","0","675"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","21","44","1","1","46.242664","0","404"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","21","63","1","1","123.373734","0","764"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","21","6","1","1","6.551706","0","21"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","21","42","1","1","48.840336","0","345"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","21","63","1","1","151.558228","0","909"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","21","63","1","1","124.186874","0","682"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","21","63","1","1","117.959419","0","861"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","21","63","1","1","116.375610","0","857"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","21","63","1","1","116.028786","0","755"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","21","63","1","1","118.283653","0","813"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","21","63","1","1","118.661865","0","703"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","21","63","1","1","119.514450","0","1004"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","21","63","1","1","118.511513","0","749"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","21","63","1","1","119.353790","0","776"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","21","63","1","1","125.227867","0","740"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","21","63","1","1","123.624825","0","730"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","21","63","1","1","120.617722","0","898"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","21","63","1","1","116.420403","0","870"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","21","63","1","1","115.422096","0","677"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","21","63","1","1","113.388092","0","851"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","21","63","1","1","121.094933","0","1064"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","21","63","1","1","111.106850","0","814"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","21","63","1","1","118.354904","0","1004"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","21","63","1","1","123.621536","0","792"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","21","63","1","1","113.391731","0","776"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","21","63","1","1","115.746620","0","838"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","21","63","1","1","115.953629","0","945"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","21","6","2","1","6.205324","0","20"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","21","6","1","1","6.069952","0","26"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","21","56","1","1","48.693424","0","743"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","21","63","1","1","113.299919","0","1078"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","21","63","1","1","113.548515","0","1187"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","21","63","1","1","125.299919","0","727"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","21","63","1","1","118.082222","0","1161"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","21","63","1","1","123.831566","0","1151"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","21","63","1","1","121.460953","0","879"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","21","63","1","1","124.078491","0","1181"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","21","63","1","1","115.467178","0","1026"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","21","63","1","1","158.361679","0","1022"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","21","63","1","1","146.443573","0","968"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","21","63","1","1","117.528275","0","907"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","21","69","1","1","124.556999","0","1052"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","21","12","1","1","10.449444","0","69"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","21","63","1","1","121.304199","0","1025"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","21","63","1","1","121.226402","0","715"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","21","63","1","1","189.245300","0","971"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","21","63","1","1","135.081390","0","873"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","21","63","1","1","195.083023","0","781"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","21","63","1","1","145.036530","0","814"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","21","63","1","1","171.132355","0","984"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","21","63","1","1","337.478912","0","823"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","21","63","3","1","200.191208","0","692"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","21","8","1","1","10.538691","0","43"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","21","8","1","1","0.000000","0","43"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","21","63","2","1","169.138474","0","741"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","21","63","2","1","193.691238","0","649"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","21","4","4","2","4.454251","0","6"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","21","14","1","1","16.368864","0","89"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","21","84","5","1","54.934349","0","1118"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","21","63","7","1","267.579041","0","657"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","0","189","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","0","84","1","0.000000","0","0"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","0","21","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","0","42","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","0","105","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","0","2","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","21","0","63","3","0.000000","0","84"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","0","4","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","21","0","4","1","0.000000","0","0"
"/OculusXR/Materials/LeftMetaQuestTouchPlusMaterial.LeftMetaQuestTouchPlusMaterial","21","0","21","1","0.000000","0","0"
"/OculusXR/Materials/RightMetaQuestTouchProMaterial.RightMetaQuestTouchProMaterial","21","0","21","1","0.000000","0","0"
"/OculusXR/Materials/LeftMetaQuestTouchProMaterial.LeftMetaQuestTouchProMaterial","21","0","21","1","0.000000","0","0"
"/OculusXR/Materials/TouchForQuest2Material.TouchForQuest2Material","21","0","21","1","0.000000","0","0"
"/OculusXR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","0","21","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","0","84","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","0","24","2","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","0","26","6","0.000000","0","2"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","0","27","1","0.000000","0","0"
"/OculusXR/Materials/RightMetaQuestTouchPlusMaterial.RightMetaQuestTouchPlusMaterial","21","0","21","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","0","294","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","0","864","1","0.000000","0","0"
"/Game/Enemies/Assets/Pirate/Materials/M_Pirate_Details_Weapon.M_Pirate_Details_Weapon","21","0","46","1","0.000000","0","0"
"/Game/Enemies/Assets/Pirate/Materials/M_Pirate_Cloth.M_Pirate_Cloth","21","0","81","1","0.000000","0","0"
"/Game/Enemies/Assets/Pirate/Materials/M_Pirate_Body_1.M_Pirate_Body_1","21","0","46","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","0","6","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","0","2","1","0.000000","0","0"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","21","0","63","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","0","21","1","0.000000","0","0"
"/Game/Enemies/Assets/Pirate/Materials/M_Pirate_Hair_1.M_Pirate_Hair_1","21","0","54","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","0","14","1","0.000000","0","0"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","0","6","1","0.000000","0","0"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","0","6","1","0.000000","0","0"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","21","0","84","2","0.000000","0","42"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","21","0","189","3","0.000000","0","63"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","21","0","126","2","0.000000","0","63"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","0","138","1","0.000000","0","0"
"/Interchange/gltf/M_Unlit.M_Unlit","21","0","26","6","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","0","54","1","0.000000","0","0"
"/Interchange/gltf/M_Sheen.M_Sheen","21","0","126","6","0.000000","0","0"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","0","126","6","0.000000","0","0"
"/Interchange/gltf/M_Default.M_Default","21","0","126","6","0.000000","0","0"
"/Interchange/gltf/M_Transmission.M_Transmission","21","0","32","2","0.000000","0","0"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","0","126","6","0.000000","0","0"
